period,iphone,ipad,mac
2010/Q2,8.398,3.27,3.472
2010/Q3,14.102,4.188,3.885
2010/Q4,16.235,7.331,4.134
2011/Q1,18.647,4.694,3.76
2011/Q2,20.338,9.246,3.947
2011/Q3,17.073,11.123,4.894
2011/Q4,37.044,15.434,5.198
2012/Q1,35.064,11.798,4.017
2012/Q2,26.028,17.042,4.02
2012/Q3,26.91,14.036,4.923
2012/Q4,47.789,22.86,4.061
2013/Q1,37.43,19.477,3.952
2013/Q2,31.241,14.617,3.754
2013/Q3,33.797,14.079,4.574
2013/Q4,51.025,26.035,4.837
2014/Q1,43.719,16.35,4.136
2014/Q2,35.203,13.276,4.413
2014/Q3,39.272,12.316,5.52
2014/Q4,74.468,21.419,5.519
2015/Q1,61.17,12.623,4.563
2015/Q2,47.534,10.931,4.796
2015/Q3,48.05,9.88,5.71
2015/Q4,74.78,16.12,5.31
2016/Q1,51.2,10.25,4.03
2016/Q2,40.399,9.95,4.252
2016/Q3,45.513,9.267,4.886
2016/Q4,78.29,13.081,5.374
2017/Q1,50.763,8.922,4.199
2017/Q2,41.026,11.424,4.292
2017/Q3,46.677,10.326,5.386
2017/Q4,77.316,13.17,5.112
2018/Q1,52.217,9.113,4.078
